method,fraction,run,algorithm,auc_score
nar,0.25,5,RandomForestScorer,0.7811054415323906
nar,0.25,5,ModelScorer,0.7857142857142857
nar,0.25,6,AUMScorer,0.6235838813595277
nar,0.25,6,RandomForestScorer,0.6756077091294137
nar,0.25,6,ModelScorer,0.7857142857142857
nar,0.25,7,AUMScorer,0.6772189148120455
nar,0.25,7,RandomForestScorer,0.7448689301474705
nar,0.25,7,ModelScorer,0.6428571428571429
nar,0.25,8,AUMScorer,0.6204119927857423
nar,0.25,8,RandomForestScorer,0.7727972443064847
nar,0.25,8,ModelScorer,0.6428571428571428
nar,0.25,9,AUMScorer,0.7088474904831488
nar,0.25,9,RandomForestScorer,0.7721311397412808
nar,0.25,9,ModelScorer,0.7857142857142857
nar,0.3,0,AUMScorer,0.6102787426342198
nar,0.3,0,RandomForestScorer,0.6870089397817777
nar,0.3,0,ModelScorer,0.7142857142857143
nar,0.3,1,AUMScorer,0.5063785708400281
nar,0.3,1,RandomForestScorer,0.7218130614675318
nar,0.3,1,ModelScorer,0.6428571428571429
nar,0.3,2,AUMScorer,0.5124859356542633
nar,0.3,2,RandomForestScorer,0.6586853227674714
nar,0.3,2,ModelScorer,0.7142857142857143
nar,0.3,3,AUMScorer,0.534947902589438
nar,0.3,3,RandomForestScorer,0.6632351834454778
nar,0.3,3,ModelScorer,0.7142857142857143
nar,0.3,4,AUMScorer,0.5834090228452027
nar,0.3,4,RandomForestScorer,0.6991763094457849
nar,0.3,4,ModelScorer,0.7857142857142857
nar,0.3,5,AUMScorer,0.5500036251515603
nar,0.3,5,RandomForestScorer,0.6635236705187302
nar,0.3,5,ModelScorer,0.7142857142857143
nar,0.3,6,AUMScorer,0.6369638829315616
nar,0.3,6,RandomForestScorer,0.6547137423872745
nar,0.3,6,ModelScorer,0.5714285714285714
nar,0.3,7,AUMScorer,0.7947366569231982
nar,0.3,7,RandomForestScorer,0.6968406173486275
nar,0.3,7,ModelScorer,0.7142857142857143
nar,0.3,8,AUMScorer,0.6671460208740913
nar,0.3,8,RandomForestScorer,0.6964207898615312
nar,0.3,8,ModelScorer,0.5714285714285714
nar,0.3,9,AUMScorer,0.6766607489706649
nar,0.3,9,RandomForestScorer,0.7366758099807847
nar,0.3,9,ModelScorer,0.8571428571428571
nar,0.35,0,AUMScorer,0.4617749544069151
nar,0.35,0,RandomForestScorer,0.7084590715037413
nar,0.35,0,ModelScorer,0.7857142857142857
nar,0.35,1,AUMScorer,0.6936209828267428
nar,0.35,1,RandomForestScorer,0.6775059170037759
nar,0.35,1,ModelScorer,0.5714285714285714
nar,0.35,2,AUMScorer,0.6231517662826814
nar,0.35,2,RandomForestScorer,0.6770239467044556
nar,0.35,2,ModelScorer,0.7857142857142857
nar,0.35,3,AUMScorer,0.4873957781486975
nar,0.35,3,RandomForestScorer,0.6964918451671402
nar,0.35,3,ModelScorer,0.7142857142857142
nar,0.35,4,AUMScorer,0.6199402308064113
nar,0.35,4,RandomForestScorer,0.6871285930012881
nar,0.35,4,ModelScorer,0.7857142857142857
nar,0.35,5,AUMScorer,0.6479816221959546
nar,0.35,5,RandomForestScorer,0.6597419657678494
nar,0.35,5,ModelScorer,0.5
nar,0.35,6,AUMScorer,0.5792650864849951
nar,0.35,6,RandomForestScorer,0.7078431506492044
nar,0.35,6,ModelScorer,0.7857142857142857
nar,0.35,7,AUMScorer,0.640419508559128
nar,0.35,7,RandomForestScorer,0.618576802608749
nar,0.35,7,ModelScorer,0.7142857142857143
nar,0.35,8,AUMScorer,0.730881567963131
nar,0.35,8,RandomForestScorer,0.6527916876789129
nar,0.35,8,ModelScorer,0.5714285714285714
nar,0.35,9,AUMScorer,0.6066465526586571
nar,0.35,9,RandomForestScorer,0.7264585847399864
nar,0.35,9,ModelScorer,0.7142857142857143
nar,0.4,0,AUMScorer,0.4395375889479613
nar,0.4,0,RandomForestScorer,0.6381355302471099
nar,0.4,0,ModelScorer,0.6428571428571429
nar,0.4,1,AUMScorer,0.5314008712638825
nar,0.4,1,RandomForestScorer,0.6337207769319384
nar,0.4,1,ModelScorer,0.5714285714285714
nar,0.4,2,AUMScorer,0.5935888757642309
nar,0.4,2,RandomForestScorer,0.6855519877202338
nar,0.4,2,ModelScorer,0.5714285714285714
nar,0.4,3,AUMScorer,0.4880980576887859
nar,0.4,3,RandomForestScorer,0.6561274589847182
nar,0.4,3,ModelScorer,0.7142857142857143
nar,0.4,4,AUMScorer,0.5267244337885378
nar,0.4,4,RandomForestScorer,0.6578346864251472
nar,0.4,4,ModelScorer,0.7142857142857143
nar,0.4,5,AUMScorer,0.5845235787659817
nar,0.4,5,RandomForestScorer,0.6896370640458291
nar,0.4,5,ModelScorer,0.7142857142857142
nar,0.4,6,AUMScorer,0.5955223080402173
nar,0.4,6,RandomForestScorer,0.6704600786563741
nar,0.4,6,ModelScorer,0.5714285714285714
nar,0.4,7,AUMScorer,0.3314418762315987
